maquinaria_labels // ["ES","FR","PT","GB","IT","DE","US"]
maquinaria_ingresos_sector // [25165.460467706023,26314.898333333345,26584.7417894737,24666.97704918033,24707.706816143498,26899.46967567566,27469.19494736841]
maquinaria_exportaciones_sector // [6.701492537313433,2.9491525423728815,3.2758620689655173,3.1016949152542375,3.5396825396825395,3.0327868852459017,3.2203389830508473]
maquinaria_ingresos_97763308Z // [13500.554285714286,27013.14333333333,13329.974999999999,25336.80333333333,13140.988571428572,4913.69,27051.25]
maquinaria_exportaciones_97763308Z // [7,3,2,6,7,2,8]
maquinaria_ingresos_71629956K // [15346.368571428571,15039.2975,28983.285,8842.553333333335,25716.87,51782.786,10052.52]
maquinaria_exportaciones_71629956K // [7,8,8,6,3,5,2]
maquinaria_ingresos_76427238D // [28783.039999999997,18686.158571428572,28053.9025,24559.824,19079.604,22020.08,44769.89]
maquinaria_exportaciones_76427238D // [12,7,4,5,5,2,2]
maquinaria_ingresos_47726125K // [55045.25,27408.14,49966.32,39689.055,46389.88,19790.246000000003,35440.76]
maquinaria_exportaciones_47726125K // [1,4,4,2,1,5,1]
maquinaria_ingresos_20086962G // [19388.2925,39687.572857142855,15255.162499999999,19661.512,26029.983333333334,44321.1825]
maquinaria_exportaciones_20086962G // [4,7,4,5,3,4]
maquinaria_ingresos_49518214L // [35773.509999999995,38174.955,21354.63,6834.91,28836.33]
maquinaria_exportaciones_49518214L // [2,2,2,1,1]
maquinaria_ingresos_57242996K // [32400.366666666665,21486.122,26103.225,11297.865,21585.25,3122.87]
maquinaria_exportaciones_57242996K // [12,5,2,2,1,1]
